intake_id,pdf,original_filename,title_guess,doi_guess,has_in718,has_lpbf_slm,eos_mentions,heat_treatment_mentions,mechanical_mentions,fatigue_mentions,text_chars,text_file
NEW01,NEW01_wang2015.pdf,wang2015.pdf,"Proceedings of the ASME 2015 International Manufacturing Science and Engineering Conference | June 8-12, 2015, Charlotte, North Carolina, USA",,True,True,0,46,13,4,37011,ml_project/extracted_data/text/NEW01_wang2015.txt
NEW02,NEW02_watring2019.pdf,watring2019.pdf,Materials Science & Engineering A 761 (2019) 137993 | Materials Science & Engineering A,10.1016/j.msea.2019.06.003,True,True,2,32,7,129,51856,ml_project/extracted_data/text/NEW02_watring2019.txt
NEW03,NEW03_kim2020.pdf,kim2020.pdf,Room and elevated temperature fatigue crack propagation behavior of | Inconel 718 alloy fabricated by laser powder bed fusion,10.1016/j.ijfatigue.2020.105802,True,True,2,27,8,79,42060,ml_project/extracted_data/text/NEW03_kim2020.txt
NEW04,NEW04_Microstructural_evolution_and_mechanical_properties_of_Inconel_718_alloy_manufactured_by.pdf,Microstructural-evolution-and-mechanical-properties-of-Inconel-718-alloy-manufactured-by.pdf,Microstructural evolution and mechanical properties of Inconel 718 alloy | manufactured by selective laser melting after solution and double aging,10.1016/j.jallcom.2022.164988,True,True,6,114,17,3,31682,ml_project/extracted_data/text/NEW04_Microstructural_evolution_and_mechanical_properties_of_Inconel_718_alloy_manufactured_by.txt
NEW05,NEW05_witkin2020.pdf,witkin2020.pdf,Influence of surface conditions and specimen orientation on high cycle | fatigue properties of Inconel 718 prepared by laser powder bed fusion,10.1016/j.ijfatigue.2019.105392,True,True,0,62,4,265,62434,ml_project/extracted_data/text/NEW05_witkin2020.txt
NEW06,NEW06_Effect_of_Scan_Speed_and_Laser_Power_on_the_Nature_of_Defects_Microstructures_and_Microhar.pdf,Effect-of-Scan-Speed-and-Laser-Power-on-the-Nature-of-Defects-Microstructures-and-Microhardness.pdf,JMEPEG (2021) 30:7057–7070 (cid:2)ASM International | Effect of Scan Speed and Laser Power on the Nature,10.1007/s11665-021-06163-8,True,True,1,51,52,4,55537,ml_project/extracted_data/text/NEW06_Effect_of_Scan_Speed_and_Laser_Power_on_the_Nature_of_Defects_Microstructures_and_Microhar.txt
NEW07,NEW07_Simultaneous_consideration_of_relative_density_energy_consumption_and_build_time_for_selec.pdf,Simultaneous-consideration-of-relative-density-energy-consumption-and-build-time-for-selective.pdf,"Simultaneous consideration of relative density, energy consumption, and | build time for selective laser melting of Inconel 718: A multi-objective",10.1016/j.jclepro.2022.133284,True,True,3,52,6,0,73264,ml_project/extracted_data/text/NEW07_Simultaneous_consideration_of_relative_density_energy_consumption_and_build_time_for_selec.txt
NEW08,NEW08_Laser_powder_bed_fused_Inconel_718_in_stress_relieved_and_solution_heat_treated_conditions.pdf,Laser-powder-bed-fused-Inconel-718-in-stress-relieved-and-solution-heat-treated-conditions.pdf,Materials Characterization 181 (2021) 111499 | Materials Characterization,10.1016/j.matchar.2021.111499,True,True,6,183,54,8,75212,ml_project/extracted_data/text/NEW08_Laser_powder_bed_fused_Inconel_718_in_stress_relieved_and_solution_heat_treated_conditions.txt
NEW09,NEW09_Outstanding_strength_ductility_synergy_in_Inconel_718_superalloy_via_laser_powder_bed_fusi.pdf,Outstanding-strength-ductility-synergy-in-Inconel-718-superalloy-via-laser-powder-bed-fusion.pdf,Additive Manufacturing 67 (2023) 103491 | Outstanding strength-ductility synergy in Inconel 718 superalloy via laser,10.1016/j.addma.2023.103491,True,True,1,77,51,1,64562,ml_project/extracted_data/text/NEW09_Outstanding_strength_ductility_synergy_in_Inconel_718_superalloy_via_laser_powder_bed_fusi.txt
NEW10,NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.pdf,Heat-treatment-for-selective-laser-melting-of-Inconel-718-alloy-with-simultaneously-enhanced.pdf,Heat treatment for selective laser melting of Inconel 718 alloy with | simultaneously enhanced tensile strength and fatigue properties,10.1016/j.jallcom.2022.165171,True,True,0,110,21,39,45328,ml_project/extracted_data/text/NEW10_Heat_treatment_for_selective_laser_melting_of_Inconel_718_alloy_with_simultaneously_enhanc.txt
NEW11,NEW11_The_microstructure_and_fatigue_performance_of_Inconel_718_produced_by_laser_based_powder.pdf,The-microstructure-and-fatigue-performance-of-Inconel-718-produced-by-laser-based-powder.pdf,The microstructure and fatigue performance of Inconel 718 produced by | laser-based powder bed fusion and post heat treatment,10.1016/j.ijfatigue.2021.106700,True,True,0,36,55,161,49716,ml_project/extracted_data/text/NEW11_The_microstructure_and_fatigue_performance_of_Inconel_718_produced_by_laser_based_powder.txt
NEW12,NEW12_metals_11_00144_v3.pdf,metals-11-00144-v3.pdf,Optimization of the Post-Process Heat Treatment of Inconel 718 | Superalloy Fabricated by Laser Powder Bed Fusion Process,10.3390/met11010144,True,True,3,266,47,2,80231,ml_project/extracted_data/text/NEW12_metals_11_00144_v3.txt
NEW13,NEW13_caiazzo2020.pdf,caiazzo2020.pdf,On the Relevance of Volumetric Energy Density in | the Investigation of Inconel 718 Laser Powder,10.3390/ma13030538,True,True,6,8,48,1,48727,ml_project/extracted_data/text/NEW13_caiazzo2020.txt
NEW14,NEW14_materials_13_02574_v2.pdf,materials-13-02574-v2.pdf,Influence of Homogenization and Solution | Treatments Time on the Microstructure and,10.3390/ma13112574,True,True,9,294,58,1,112450,ml_project/extracted_data/text/NEW14_materials_13_02574_v2.txt
NEW15,NEW15_coatings_13_00189.pdf,coatings-13-00189.pdf,Effects of Process Parameters and Heat Treatment on | Microstructure and Mechanical Characteristics of Laser Powder,10.3390/coatings13010189,True,True,4,118,17,7,57070,ml_project/extracted_data/text/NEW15_coatings_13_00189.txt
NEW16,NEW16_ssrn_4798171.pdf,ssrn-4798171.pdf,Improved properties of additively prepared Inconel 718 alloy post- | processed with a new heat treatment,10.1016/J.JCLEPRO.2019.119068,True,True,0,144,28,72,50653,ml_project/extracted_data/text/NEW16_ssrn_4798171.txt
NEW17,NEW17_MARINO_THESIS_2022.pdf,MARINO-THESIS-2022.pdf,EFFECTS OF PRINT PARAMETERS AND HEAT TREATMENT ON FATIGUE OF | LASER POWDER BED FUSED INCONEL 718,,True,True,0,402,119,78,134086,ml_project/extracted_data/text/NEW17_MARINO_THESIS_2022.txt
