route_evidence_id,ht_class,source_id,evidence_id,evidence_role,temperature_time_evidence,fatigue_relevance,local_feasibility_logic,score_component
REV_DA_001,DA,SRC021,NIST_simplified_ageing_context,baseline route comparator,Ageing near 720 C and 620 C retained as a lower-temperature comparator.,Does not close internal pores; used mainly to expose the cost and risk trade-off against solution-treated routes.,Feasible when only ageing-temperature furnace capability is available.,cost advantage and baseline comparison; limited fatigue support.
REV_DA_002,DA,EXCEL_REF_[5],EVID_EXCEL_0005,ageing-step support,720 C for 8 h followed by furnace cooling to 620 C and 620 C hold.,Ageing response is relevant to strength but fatigue remains defect and surface sensitive.,Uses lower set points than solution-treatment routes.,supports ageing sequence used across route families.
REV_ST_DA_001,ST_DA,EXCEL_REF_[2],EVID_EXCEL_0002,route-class support,LPBF vertical ST+DA record in curated spreadsheet evidence.,Supports non-HIP strengthening route; fatigue still requires local S-N validation.,Primary local non-HIP candidate when furnace capability reaches about 980 C.,adds route-class evidence support.
REV_ST_DA_002,ST_DA,EXCEL_REF_[5],EVID_EXCEL_0005,specific recipe support,980 C for 1 h; 720 C for 8 h; 620 C for 8 h.,Relevant to the planned local validation route; no local fatigue life is inferred.,Selected recipe stays within the 980 C local furnace constraint.,anchors selected recipe and local feasibility bonus.
REV_ST_DA_003,ST_DA,NEW10,SN_NEW10_Fig_14,S-N literature context,Reviewed marker points for heat-treated SLM/LPBF Inconel 718 at room temperature.,"Provides source-specific R = -1 S-N context, not R = 0.1 local prediction.",Used as fatigue evidence context only; local fatigue testing remains mandatory.,"supports fatigue-context explanation, not deterministic life scoring."
REV_ST_DA_004,ST_DA,EXCEL_REF_[4],EVID_EXCEL_0003,static-property support,Curated ST+DA mechanical-property row.,Static strength is a supporting indicator only; fatigue remains defect controlled.,Supports retaining ST_DA as the default non-HIP route.,adds static-property support.
REV_HIP_DA_001,HIP_DA,EXCEL_REF_[5],EVID_EXCEL_0006,HIP ageing support,HIP at 1200 C and 150 MPa followed by 720 C and 620 C ageing.,HIP may improve fatigue when internal porosity dominates crack initiation.,Benchmark only when HIP is unavailable locally.,adds fatigue potential but receives local feasibility penalty when HIP is off.
REV_HIP_ST_DA_001,HIP_ST_DA,EXCEL_REF_[1],EVID_EXCEL_0001,HIP plus solution-age support,1163 C HIP at 100 MPa; 954 C solution; 718/621 C ageing.,Benchmark route combining pore closure and precipitation control.,Retained for comparison; not a local primary route without HIP access.,adds benchmark fatigue and ductility support.
REV_HIP_ST_DA_002,HIP_ST_DA,SRC021,NIST_HIP1020RQSA_context,industrial simplification context,Shortened HIP and ageing strategy reported for LPBF IN718.,"Useful industrial context for post-processing burden and pore closure, not a direct local recipe.",Benchmark only unless local HIP route is available.,supports comparison against non-HIP local route.
REV_HA_ST_DA_001,HA_ST_DA,SRC008,SRC008_homogenisation_context,homogenisation context,High-temperature homogenisation plus solution/ageing route family.,Targets segregation and Laves-phase control; fatigue benefit requires local confirmation.,Conditional when furnace capability exceeds the selected ST_DA recipe.,supports higher-temperature comparison route.
REV_HA_ST_DA_002,HA_ST_DA,EXCEL_REF_[5],EVID_EXCEL_0007,high-temperature solution support,1200 C solution followed by 720 C and 620 C ageing.,Useful for testing segregation-control hypotheses; not the first local fatigue route.,May exceed a 980 C local furnace limit and therefore receives feasibility penalty.,adds high-temperature evidence with process-risk penalty.
REV_CUSTOM_ST_DA_001,CUSTOM_ST_DA,EXCEL_REF_[5],EVID_EXCEL_0005,thin-coupon screening derivative,Shortened 980 C solution step followed by the reviewed double-ageing sequence.,Exploratory coupon-screening route only; fatigue response must be measured locally.,Allowed only for low-thermal-mass coupons and flagged for incomplete transformation risk.,supports exploratory local feasibility but not component-level recommendation.
