scenario_id,target,allow_hip,confidence_mode,eos_like_only,surface_state,build_orientation,ht_class,score,temperature_time_window,selected_recipe_summary,recommended_peak_temperature_C,recommended_total_hold_h,evidence_count_seed,confidence,inside_evidence_envelope,recommendation_reason,route_evidence_ids,score_basis,rank
SCENARIO_1,balanced,False,balanced,False,machined,vertical,ST_DA,0.7868,"Solution treatment about 980-1095 C for 1-2 h, then ageing about 720 C/8 h and 620 C/8 h",980 C for 1 h; 720 C for 8 h; 620 C for 8 h,980,17.0,12,medium,yes,"Best-supported non-HIP route in the expanded LPBF/SLM Inconel 718 evidence set; it balances precipitation strengthening, retained ductility, and practical furnace accessibility.",REV_ST_DA_001;REV_ST_DA_002;REV_ST_DA_003;REV_ST_DA_004,target property index=0.773; evidence bonus=0.090; cost penalty=0.036; uncertainty penalty=0.040; local feasibility is applied downstream from the selected furnace/HIP constraints.,1
SCENARIO_1,balanced,False,balanced,False,machined,vertical,HA_ST_DA,0.7586,"Homogenisation around 1065-1100 C, solution treatment, then double ageing",1065 C for 1 h; 980 C for 1 h; 720 C for 8 h; 620 C for 8 h,1065,18.0,5,medium,yes,"Relevant where segregation and Laves-phase control are central considerations; the expanded corpus supports homogenisation and solution-time sensitivity, but the longer furnace cycle requires local validation.",REV_HA_ST_DA_001;REV_HA_ST_DA_002,target property index=0.780; evidence bonus=0.075; cost penalty=0.056; uncertainty penalty=0.040; local feasibility is applied downstream from the selected furnace/HIP constraints.,2
SCENARIO_1,balanced,False,balanced,False,machined,vertical,CUSTOM_ST_DA,0.7374,"Short-cycle solution treatment within the observed 980-1065 C range, followed by standard double ageing near 720 C and 620 C",980 C for 0.5 h; 720 C for 8 h; 620 C for 8 h,980,16.5,5,medium,yes,Exploratory thin coupon screening route for local validation under available furnace constraints. The 0.5 h solution step is not a general component recommendation; it may be suitable only for low-thermal-mass specimens and may leave incomplete phase transformation in thicker sections.,REV_CUSTOM_ST_DA_001,target property index=0.733; evidence bonus=0.075; cost penalty=0.030; uncertainty penalty=0.040; local feasibility is applied downstream from the selected furnace/HIP constraints.,3
SCENARIO_1,balanced,False,balanced,False,machined,vertical,DA,0.605,Direct ageing around 720 C for 8 h plus 620 C for 8 h where applicable,720 C for 8 h; 620 C for 8 h,720,16.0,3,medium,yes,"Lower-cost ageing route for comparison; residual AM defects and microstructural heterogeneity may remain influential, so this route is best retained as a baseline rather than the primary validation route.",REV_DA_001;REV_DA_002,target property index=0.616; evidence bonus=0.045; cost penalty=0.016; uncertainty penalty=0.040; local feasibility is applied downstream from the selected furnace/HIP constraints.,4
SCENARIO_2,fatigue,False,conservative,False,machined,vertical,ST_DA,0.727,"Solution treatment about 980-1095 C for 1-2 h, then ageing about 720 C/8 h and 620 C/8 h",980 C for 1 h; 720 C for 8 h; 620 C for 8 h,980,17.0,12,medium,yes,"Best-supported non-HIP route in the expanded LPBF/SLM Inconel 718 evidence set; it balances precipitation strengthening, retained ductility, and practical furnace accessibility.",REV_ST_DA_001;REV_ST_DA_002;REV_ST_DA_003;REV_ST_DA_004,target property index=0.753; evidence bonus=0.090; cost penalty=0.036; uncertainty penalty=0.080; local feasibility is applied downstream from the selected furnace/HIP constraints.,1
SCENARIO_2,fatigue,False,conservative,False,machined,vertical,HA_ST_DA,0.701,"Homogenisation around 1065-1100 C, solution treatment, then double ageing",1065 C for 1 h; 980 C for 1 h; 720 C for 8 h; 620 C for 8 h,1065,18.0,5,medium,yes,"Relevant where segregation and Laves-phase control are central considerations; the expanded corpus supports homogenisation and solution-time sensitivity, but the longer furnace cycle requires local validation.",REV_HA_ST_DA_001;REV_HA_ST_DA_002,target property index=0.762; evidence bonus=0.075; cost penalty=0.056; uncertainty penalty=0.080; local feasibility is applied downstream from the selected furnace/HIP constraints.,2
SCENARIO_2,fatigue,False,conservative,False,machined,vertical,CUSTOM_ST_DA,0.6766,"Short-cycle solution treatment within the observed 980-1065 C range, followed by standard double ageing near 720 C and 620 C",980 C for 0.5 h; 720 C for 8 h; 620 C for 8 h,980,16.5,5,medium,yes,Exploratory thin coupon screening route for local validation under available furnace constraints. The 0.5 h solution step is not a general component recommendation; it may be suitable only for low-thermal-mass specimens and may leave incomplete phase transformation in thicker sections.,REV_CUSTOM_ST_DA_001,target property index=0.712; evidence bonus=0.075; cost penalty=0.030; uncertainty penalty=0.080; local feasibility is applied downstream from the selected furnace/HIP constraints.,3
SCENARIO_2,fatigue,False,conservative,False,machined,vertical,DA,0.539,Direct ageing around 720 C for 8 h plus 620 C for 8 h where applicable,720 C for 8 h; 620 C for 8 h,720,16.0,3,medium,yes,"Lower-cost ageing route for comparison; residual AM defects and microstructural heterogeneity may remain influential, so this route is best retained as a baseline rather than the primary validation route.",REV_DA_001;REV_DA_002,target property index=0.590; evidence bonus=0.045; cost penalty=0.016; uncertainty penalty=0.080; local feasibility is applied downstream from the selected furnace/HIP constraints.,4
SCENARIO_3,strength,False,balanced,False,machined,vertical,ST_DA,0.848,"Solution treatment about 980-1095 C for 1-2 h, then ageing about 720 C/8 h and 620 C/8 h",980 C for 1 h; 720 C for 8 h; 620 C for 8 h,980,17.0,12,medium,yes,"Best-supported non-HIP route in the expanded LPBF/SLM Inconel 718 evidence set; it balances precipitation strengthening, retained ductility, and practical furnace accessibility.",REV_ST_DA_001;REV_ST_DA_002;REV_ST_DA_003;REV_ST_DA_004,target property index=0.834; evidence bonus=0.090; cost penalty=0.036; uncertainty penalty=0.040; local feasibility is applied downstream from the selected furnace/HIP constraints.,1
SCENARIO_3,strength,False,balanced,False,machined,vertical,CUSTOM_ST_DA,0.7886,"Short-cycle solution treatment within the observed 980-1065 C range, followed by standard double ageing near 720 C and 620 C",980 C for 0.5 h; 720 C for 8 h; 620 C for 8 h,980,16.5,5,medium,yes,Exploratory thin coupon screening route for local validation under available furnace constraints. The 0.5 h solution step is not a general component recommendation; it may be suitable only for low-thermal-mass specimens and may leave incomplete phase transformation in thicker sections.,REV_CUSTOM_ST_DA_001,target property index=0.784; evidence bonus=0.075; cost penalty=0.030; uncertainty penalty=0.040; local feasibility is applied downstream from the selected furnace/HIP constraints.,2
